MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
02.01.2020 00:00 - 02.01.2020 00:15,38.72,EUR,
02.01.2020 00:15 - 02.01.2020 00:30,25.67,EUR,
02.01.2020 00:30 - 02.01.2020 00:45,20.2,EUR,
02.01.2020 00:45 - 02.01.2020 01:00,4.5,EUR,
02.01.2020 01:00 - 02.01.2020 01:15,30.84,EUR,
02.01.2020 01:15 - 02.01.2020 01:30,22.71,EUR,
02.01.2020 01:30 - 02.01.2020 01:45,14.2,EUR,
02.01.2020 01:45 - 02.01.2020 02:00,6.98,EUR,
02.01.2020 02:00 - 02.01.2020 02:15,25.07,EUR,
02.01.2020 02:15 - 02.01.2020 02:30,19.9,EUR,
02.01.2020 02:30 - 02.01.2020 02:45,16.4,EUR,
02.01.2020 02:45 - 02.01.2020 03:00,14.93,EUR,
02.01.2020 03:00 - 02.01.2020 03:15,16.41,EUR,
02.01.2020 03:15 - 02.01.2020 03:30,16.09,EUR,
02.01.2020 03:30 - 02.01.2020 03:45,15.05,EUR,
02.01.2020 03:45 - 02.01.2020 04:00,16.7,EUR,
02.01.2020 04:00 - 02.01.2020 04:15,13.71,EUR,
02.01.2020 04:15 - 02.01.2020 04:30,15.03,EUR,
02.01.2020 04:30 - 02.01.2020 04:45,21.2,EUR,
02.01.2020 04:45 - 02.01.2020 05:00,24.82,EUR,
02.01.2020 05:00 - 02.01.2020 05:15,13.61,EUR,
02.01.2020 05:15 - 02.01.2020 05:30,14.8,EUR,
02.01.2020 05:30 - 02.01.2020 05:45,24.77,EUR,
02.01.2020 05:45 - 02.01.2020 06:00,46.87,EUR,
02.01.2020 06:00 - 02.01.2020 06:15,8.23,EUR,
02.01.2020 06:15 - 02.01.2020 06:30,21.91,EUR,
02.01.2020 06:30 - 02.01.2020 06:45,44.43,EUR,
02.01.2020 06:45 - 02.01.2020 07:00,49.51,EUR,
02.01.2020 07:00 - 02.01.2020 07:15,21.24,EUR,
02.01.2020 07:15 - 02.01.2020 07:30,30.66,EUR,
02.01.2020 07:30 - 02.01.2020 07:45,50.38,EUR,
02.01.2020 07:45 - 02.01.2020 08:00,52.78,EUR,
02.01.2020 08:00 - 02.01.2020 08:15,32.29,EUR,
02.01.2020 08:15 - 02.01.2020 08:30,51.4,EUR,
02.01.2020 08:30 - 02.01.2020 08:45,48.9,EUR,
02.01.2020 08:45 - 02.01.2020 09:00,36.36,EUR,
02.01.2020 09:00 - 02.01.2020 09:15,45.79,EUR,
02.01.2020 09:15 - 02.01.2020 09:30,56.68,EUR,
02.01.2020 09:30 - 02.01.2020 09:45,43.69,EUR,
02.01.2020 09:45 - 02.01.2020 10:00,26.1,EUR,
02.01.2020 10:00 - 02.01.2020 10:15,46.99,EUR,
02.01.2020 10:15 - 02.01.2020 10:30,48,EUR,
02.01.2020 10:30 - 02.01.2020 10:45,46.6,EUR,
02.01.2020 10:45 - 02.01.2020 11:00,26.3,EUR,
02.01.2020 11:00 - 02.01.2020 11:15,34.12,EUR,
02.01.2020 11:15 - 02.01.2020 11:30,46.68,EUR,
02.01.2020 11:30 - 02.01.2020 11:45,46.27,EUR,
02.01.2020 11:45 - 02.01.2020 12:00,36.9,EUR,
02.01.2020 12:00 - 02.01.2020 12:15,33.48,EUR,
02.01.2020 12:15 - 02.01.2020 12:30,43.29,EUR,
02.01.2020 12:30 - 02.01.2020 12:45,53.74,EUR,
02.01.2020 12:45 - 02.01.2020 13:00,27.45,EUR,
02.01.2020 13:00 - 02.01.2020 13:15,37.09,EUR,
