MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
14.02.2020 00:30 - 14.02.2020 00:45,28.08,EUR,
14.02.2020 00:45 - 14.02.2020 01:00,16.31,EUR,
14.02.2020 01:00 - 14.02.2020 01:15,35.18,EUR,
14.02.2020 01:15 - 14.02.2020 01:30,29.15,EUR,
14.02.2020 01:30 - 14.02.2020 01:45,23.38,EUR,
14.02.2020 01:45 - 14.02.2020 02:00,16.28,EUR,
14.02.2020 02:00 - 14.02.2020 02:15,30.5,EUR,
14.02.2020 02:15 - 14.02.2020 02:30,25.32,EUR,
14.02.2020 02:30 - 14.02.2020 02:45,24.17,EUR,
14.02.2020 02:45 - 14.02.2020 03:00,23.6,EUR,
14.02.2020 03:00 - 14.02.2020 03:15,22.77,EUR,
14.02.2020 03:15 - 14.02.2020 03:30,23.62,EUR,
14.02.2020 03:30 - 14.02.2020 03:45,24.68,EUR,
14.02.2020 03:45 - 14.02.2020 04:00,28.14,EUR,
14.02.2020 04:00 - 14.02.2020 04:15,15.34,EUR,
14.02.2020 04:15 - 14.02.2020 04:30,22.26,EUR,
14.02.2020 04:30 - 14.02.2020 04:45,32,EUR,
14.02.2020 04:45 - 14.02.2020 05:00,40.4,EUR,
14.02.2020 05:00 - 14.02.2020 05:15,12.06,EUR,
14.02.2020 05:15 - 14.02.2020 05:30,19.64,EUR,
14.02.2020 05:30 - 14.02.2020 05:45,33.86,EUR,
14.02.2020 05:45 - 14.02.2020 06:00,52.47,EUR,
14.02.2020 06:00 - 14.02.2020 06:15,4.15,EUR,
14.02.2020 06:15 - 14.02.2020 06:30,31.28,EUR,
14.02.2020 06:30 - 14.02.2020 06:45,51.82,EUR,
14.02.2020 06:45 - 14.02.2020 07:00,64.14,EUR,
14.02.2020 07:00 - 14.02.2020 07:15,30.79,EUR,
14.02.2020 07:15 - 14.02.2020 07:30,50.3,EUR,
14.02.2020 07:30 - 14.02.2020 07:45,57.06,EUR,
14.02.2020 07:45 - 14.02.2020 08:00,60.5,EUR,
14.02.2020 08:00 - 14.02.2020 08:15,56.86,EUR,
14.02.2020 08:15 - 14.02.2020 08:30,48.17,EUR,
14.02.2020 08:30 - 14.02.2020 08:45,47.36,EUR,
14.02.2020 08:45 - 14.02.2020 09:00,43.22,EUR,
14.02.2020 09:00 - 14.02.2020 09:15,55.7,EUR,
14.02.2020 09:15 - 14.02.2020 09:30,49.51,EUR,
14.02.2020 09:30 - 14.02.2020 09:45,44.3,EUR,
14.02.2020 09:45 - 14.02.2020 10:00,38.61,EUR,
14.02.2020 10:00 - 14.02.2020 10:15,49.34,EUR,
14.02.2020 10:15 - 14.02.2020 10:30,45.47,EUR,
14.02.2020 10:30 - 14.02.2020 10:45,41.18,EUR,
14.02.2020 10:45 - 14.02.2020 11:00,38.93,EUR,
14.02.2020 11:00 - 14.02.2020 11:15,46,EUR,
14.02.2020 11:15 - 14.02.2020 11:30,42,EUR,
14.02.2020 11:30 - 14.02.2020 11:45,40.15,EUR,
14.02.2020 11:45 - 14.02.2020 12:00,35.05,EUR,
14.02.2020 12:00 - 14.02.2020 12:15,45.28,EUR,
14.02.2020 12:15 - 14.02.2020 12:30,38,EUR,
14.02.2020 12:30 - 14.02.2020 12:45,36.09,EUR,
14.02.2020 12:45 - 14.02.2020 13:00,34.24,EUR,
14.02.2020 13:00 - 14.02.2020 13:15,42.45,EUR,
14.02.2020 13:15 - 14.02.2020 13:30,38.23,EUR,
14.02.2020 13:30 - 14.02.2020 13:45,34.4,EUR,
14.02.2020 13:45 - 14.02.2020 14:00,29.73,EUR,
14.02.2020 14:00 - 14.02.2020 14:15,31.4,EUR,
14.02.2020 14:15 - 14.02.2020 14:30,33.47,EUR,
14.02.2020 14:30 - 14.02.2020 14:45,34.78,EUR,
14.02.2020 14:45 - 14.02.2020 15:00,38.36,EUR,
14.02.2020 15:00 - 14.02.2020 15:15,28.47,EUR,
14.02.2020 15:15 - 14.02.2020 15:30,32.87,EUR,
14.02.2020 15:30 - 14.02.2020 15:45,38.84,EUR,
14.02.2020 15:45 - 14.02.2020 16:00,42.72,EUR,
14.02.2020 16:00 - 14.02.2020 16:15,26.62,EUR,
14.02.2020 16:15 - 14.02.2020 16:30,34.94,EUR,
14.02.2020 16:30 - 14.02.2020 16:45,42.99,EUR,
14.02.2020 16:45 - 14.02.2020 17:00,48.65,EUR,
14.02.2020 17:00 - 14.02.2020 17:15,35.05,EUR,
14.02.2020 17:15 - 14.02.2020 17:30,40.23,EUR,
14.02.2020 17:30 - 14.02.2020 17:45,46.87,EUR,
14.02.2020 17:45 - 14.02.2020 18:00,53.85,EUR,
14.02.2020 18:00 - 14.02.2020 18:15,45.46,EUR,
14.02.2020 18:15 - 14.02.2020 18:30,43.95,EUR,
14.02.2020 18:30 - 14.02.2020 18:45,43.67,EUR,
14.02.2020 18:45 - 14.02.2020 19:00,45.72,EUR,
14.02.2020 19:00 - 14.02.2020 19:15,56.31,EUR,
14.02.2020 19:15 - 14.02.2020 19:30,46.77,EUR,
14.02.2020 19:30 - 14.02.2020 19:45,36.57,EUR,
14.02.2020 19:45 - 14.02.2020 20:00,28.75,EUR,
14.02.2020 20:00 - 14.02.2020 20:15,53.88,EUR,
14.02.2020 20:15 - 14.02.2020 20:30,43.73,EUR,
14.02.2020 20:30 - 14.02.2020 20:45,31.29,EUR,
14.02.2020 20:45 - 14.02.2020 21:00,16.69,EUR,
14.02.2020 21:00 - 14.02.2020 21:15,45.06,EUR,
14.02.2020 21:15 - 14.02.2020 21:30,37.2,EUR,
14.02.2020 21:30 - 14.02.2020 21:45,27.58,EUR,
14.02.2020 21:45 - 14.02.2020 22:00,14.96,EUR,
14.02.2020 22:00 - 14.02.2020 22:15,45.85,EUR,
14.02.2020 22:15 - 14.02.2020 22:30,37.96,EUR,
14.02.2020 22:30 - 14.02.2020 22:45,25.87,EUR,
14.02.2020 22:45 - 14.02.2020 23:00,7.13,EUR,
14.02.2020 23:00 - 14.02.2020 23:15,45.92,EUR,
14.02.2020 23:15 - 14.02.2020 23:30,34,EUR,
14.02.2020 23:30 - 14.02.2020 23:45,18.48,EUR,
14.02.2020 23:45 - 15.02.2020 00:00,-0.48,EUR,
15.02.2020 00:00 - 15.02.2020 00:15,39.96,EUR,
15.02.2020 00:15 - 15.02.2020 00:30,32.61,EUR,
15.02.2020 00:30 - 15.02.2020 00:45,24.17,EUR,
15.02.2020 00:45 - 15.02.2020 01:00,8.72,EUR,
15.02.2020 01:00 - 15.02.2020 01:15,36.47,EUR,
15.02.2020 01:15 - 15.02.2020 01:30,28.52,EUR,
15.02.2020 01:30 - 15.02.2020 01:45,24.16,EUR,
15.02.2020 01:45 - 15.02.2020 02:00,10.84,EUR,
15.02.2020 02:00 - 15.02.2020 02:15,29.36,EUR,
15.02.2020 02:15 - 15.02.2020 02:30,21.94,EUR,
15.02.2020 02:30 - 15.02.2020 02:45,21.9,EUR,
15.02.2020 02:45 - 15.02.2020 03:00,22.8,EUR,
15.02.2020 03:00 - 15.02.2020 03:15,23.7,EUR,
15.02.2020 03:15 - 15.02.2020 03:30,19.53,EUR,
15.02.2020 03:30 - 15.02.2020 03:45,22.97,EUR,
15.02.2020 03:45 - 15.02.2020 04:00,22.2,EUR,
15.02.2020 04:00 - 15.02.2020 04:15,19.6,EUR,
15.02.2020 04:15 - 15.02.2020 04:30,21,EUR,
15.02.2020 04:30 - 15.02.2020 04:45,24.4,EUR,
15.02.2020 04:45 - 15.02.2020 05:00,23,EUR,
15.02.2020 05:00 - 15.02.2020 05:15,20.92,EUR,
15.02.2020 05:15 - 15.02.2020 05:30,16.97,EUR,
15.02.2020 05:30 - 15.02.2020 05:45,23.18,EUR,
15.02.2020 05:45 - 15.02.2020 06:00,25.14,EUR,
15.02.2020 06:00 - 15.02.2020 06:15,11.7,EUR,
15.02.2020 06:15 - 15.02.2020 06:30,18.39,EUR,
15.02.2020 06:30 - 15.02.2020 06:45,25.69,EUR,
15.02.2020 06:45 - 15.02.2020 07:00,31.3,EUR,
15.02.2020 07:00 - 15.02.2020 07:15,12.58,EUR,
15.02.2020 07:15 - 15.02.2020 07:30,21.75,EUR,
15.02.2020 07:30 - 15.02.2020 07:45,32,EUR,
15.02.2020 07:45 - 15.02.2020 08:00,34.94,EUR,
15.02.2020 08:00 - 15.02.2020 08:15,28.69,EUR,
15.02.2020 08:15 - 15.02.2020 08:30,30.39,EUR,
15.02.2020 08:30 - 15.02.2020 08:45,25.35,EUR,
15.02.2020 08:45 - 15.02.2020 09:00,24.8,EUR,
15.02.2020 09:00 - 15.02.2020 09:15,34.47,EUR,
15.02.2020 09:15 - 15.02.2020 09:30,29.61,EUR,
15.02.2020 09:30 - 15.02.2020 09:45,23.86,EUR,
15.02.2020 09:45 - 15.02.2020 10:00,15.75,EUR,
15.02.2020 10:00 - 15.02.2020 10:15,32.02,EUR,
15.02.2020 10:15 - 15.02.2020 10:30,27.35,EUR,
15.02.2020 10:30 - 15.02.2020 10:45,22.18,EUR,
15.02.2020 10:45 - 15.02.2020 11:00,15.05,EUR,
15.02.2020 11:00 - 15.02.2020 11:15,26.89,EUR,
15.02.2020 11:15 - 15.02.2020 11:30,24.38,EUR,
15.02.2020 11:30 - 15.02.2020 11:45,21.4,EUR,
15.02.2020 11:45 - 15.02.2020 12:00,12.25,EUR,
15.02.2020 12:00 - 15.02.2020 12:15,26.47,EUR,
15.02.2020 12:15 - 15.02.2020 12:30,18.74,EUR,
15.02.2020 12:30 - 15.02.2020 12:45,14.98,EUR,
15.02.2020 12:45 - 15.02.2020 13:00,9.82,EUR,
15.02.2020 13:00 - 15.02.2020 13:15,20.12,EUR,
15.02.2020 13:15 - 15.02.2020 13:30,16.61,EUR,
15.02.2020 13:30 - 15.02.2020 13:45,13.14,EUR,
15.02.2020 13:45 - 15.02.2020 14:00,13.02,EUR,
15.02.2020 14:00 - 15.02.2020 14:15,6.53,EUR,
15.02.2020 14:15 - 15.02.2020 14:30,11.28,EUR,
15.02.2020 14:30 - 15.02.2020 14:45,14.79,EUR,
15.02.2020 14:45 - 15.02.2020 15:00,28.5,EUR,
15.02.2020 15:00 - 15.02.2020 15:15,-1.71,EUR,
15.02.2020 15:15 - 15.02.2020 15:30,13.41,EUR,
15.02.2020 15:30 - 15.02.2020 15:45,23.19,EUR,
15.02.2020 15:45 - 15.02.2020 16:00,35.9,EUR,
15.02.2020 16:00 - 15.02.2020 16:15,3.68,EUR,
15.02.2020 16:15 - 15.02.2020 16:30,13.92,EUR,
15.02.2020 16:30 - 15.02.2020 16:45,27.02,EUR,
15.02.2020 16:45 - 15.02.2020 17:00,36.57,EUR,
15.02.2020 17:00 - 15.02.2020 17:15,9.2,EUR,
15.02.2020 17:15 - 15.02.2020 17:30,17.86,EUR,
15.02.2020 17:30 - 15.02.2020 17:45,32.8,EUR,
15.02.2020 17:45 - 15.02.2020 18:00,36.47,EUR,
15.02.2020 18:00 - 15.02.2020 18:15,29.38,EUR,
15.02.2020 18:15 - 15.02.2020 18:30,27.27,EUR,
15.02.2020 18:30 - 15.02.2020 18:45,25.12,EUR,
15.02.2020 18:45 - 15.02.2020 19:00,15.43,EUR,
15.02.2020 19:00 - 15.02.2020 19:15,35.2,EUR,
15.02.2020 19:15 - 15.02.2020 19:30,28.72,EUR,
15.02.2020 19:30 - 15.02.2020 19:45,16.61,EUR,
15.02.2020 19:45 - 15.02.2020 20:00,5.47,EUR,
15.02.2020 20:00 - 15.02.2020 20:15,36.69,EUR,
15.02.2020 20:15 - 15.02.2020 20:30,21.24,EUR,
15.02.2020 20:30 - 15.02.2020 20:45,9.26,EUR,
15.02.2020 20:45 - 15.02.2020 21:00,-3.32,EUR,
15.02.2020 21:00 - 15.02.2020 21:15,20.47,EUR,
15.02.2020 21:15 - 15.02.2020 21:30,14.62,EUR,
15.02.2020 21:30 - 15.02.2020 21:45,-1.97,EUR,
15.02.2020 21:45 - 15.02.2020 22:00,-7.11,EUR,
15.02.2020 22:00 - 15.02.2020 22:15,24.31,EUR,
15.02.2020 22:15 - 15.02.2020 22:30,9.06,EUR,
15.02.2020 22:30 - 15.02.2020 22:45,-5.97,EUR,
15.02.2020 22:45 - 15.02.2020 23:00,-15.42,EUR,
15.02.2020 23:00 - 15.02.2020 23:15,19.96,EUR,
15.02.2020 23:15 - 15.02.2020 23:30,7.11,EUR,
15.02.2020 23:30 - 15.02.2020 23:45,-4.51,EUR,
15.02.2020 23:45 - 16.02.2020 00:00,-24.74,EUR,
16.02.2020 00:00 - 16.02.2020 00:15,17.44,EUR,
16.02.2020 00:15 - 16.02.2020 00:30,6.44,EUR,
16.02.2020 00:30 - 16.02.2020 00:45,-3.87,EUR,
16.02.2020 00:45 - 16.02.2020 01:00,-23.63,EUR,
16.02.2020 01:00 - 16.02.2020 01:15,6,EUR,
16.02.2020 01:15 - 16.02.2020 01:30,-1.11,EUR,
16.02.2020 01:30 - 16.02.2020 01:45,-12.55,EUR,
16.02.2020 01:45 - 16.02.2020 02:00,-24.35,EUR,
16.02.2020 02:00 - 16.02.2020 02:15,-3.97,EUR,
16.02.2020 02:15 - 16.02.2020 02:30,-17.48,EUR,
16.02.2020 02:30 - 16.02.2020 02:45,-21.7,EUR,
16.02.2020 02:45 - 16.02.2020 03:00,-27.41,EUR,
16.02.2020 03:00 - 16.02.2020 03:15,-12.09,EUR,
16.02.2020 03:15 - 16.02.2020 03:30,-23.38,EUR,
16.02.2020 03:30 - 16.02.2020 03:45,-24.14,EUR,
16.02.2020 03:45 - 16.02.2020 04:00,-22.5,EUR,
16.02.2020 04:00 - 16.02.2020 04:15,-18.86,EUR,
16.02.2020 04:15 - 16.02.2020 04:30,-16.52,EUR,
16.02.2020 04:30 - 16.02.2020 04:45,-20.29,EUR,
16.02.2020 04:45 - 16.02.2020 05:00,-20.4,EUR,
16.02.2020 05:00 - 16.02.2020 05:15,-13.23,EUR,
16.02.2020 05:15 - 16.02.2020 05:30,-15.92,EUR,
16.02.2020 05:30 - 16.02.2020 05:45,-13.1,EUR,
16.02.2020 05:45 - 16.02.2020 06:00,-15.24,EUR,
16.02.2020 06:00 - 16.02.2020 06:15,-26.02,EUR,
16.02.2020 06:15 - 16.02.2020 06:30,-22.46,EUR,
16.02.2020 06:30 - 16.02.2020 06:45,-16.5,EUR,
16.02.2020 06:45 - 16.02.2020 07:00,-14.79,EUR,
16.02.2020 07:00 - 16.02.2020 07:15,-28.51,EUR,
16.02.2020 07:15 - 16.02.2020 07:30,-20.03,EUR,
16.02.2020 07:30 - 16.02.2020 07:45,-6.3,EUR,
16.02.2020 07:45 - 16.02.2020 08:00,-1.16,EUR,
16.02.2020 08:00 - 16.02.2020 08:15,-20.01,EUR,
16.02.2020 08:15 - 16.02.2020 08:30,-7.43,EUR,
16.02.2020 08:30 - 16.02.2020 08:45,-4.68,EUR,
16.02.2020 08:45 - 16.02.2020 09:00,1.51,EUR,
16.02.2020 09:00 - 16.02.2020 09:15,-10.17,EUR,
16.02.2020 09:15 - 16.02.2020 09:30,-3.2,EUR,
16.02.2020 09:30 - 16.02.2020 09:45,-1.6,EUR,
16.02.2020 09:45 - 16.02.2020 10:00,0.96,EUR,
16.02.2020 10:00 - 16.02.2020 10:15,-5.44,EUR,
16.02.2020 10:15 - 16.02.2020 10:30,-4.01,EUR,
16.02.2020 10:30 - 16.02.2020 10:45,-0.8,EUR,
16.02.2020 10:45 - 16.02.2020 11:00,2.22,EUR,
16.02.2020 11:00 - 16.02.2020 11:15,-5.22,EUR,
16.02.2020 11:15 - 16.02.2020 11:30,-1.69,EUR,
16.02.2020 11:30 - 16.02.2020 11:45,2.81,EUR,
16.02.2020 11:45 - 16.02.2020 12:00,-0.08,EUR,
16.02.2020 12:00 - 16.02.2020 12:15,8.06,EUR,
16.02.2020 12:15 - 16.02.2020 12:30,-0.4,EUR,
16.02.2020 12:30 - 16.02.2020 12:45,-4.9,EUR,
16.02.2020 12:45 - 16.02.2020 13:00,-18.2,EUR,
16.02.2020 13:00 - 16.02.2020 13:15,-3.6,EUR,
16.02.2020 13:15 - 16.02.2020 13:30,-16.57,EUR,
16.02.2020 13:30 - 16.02.2020 13:45,-27.19,EUR,
16.02.2020 13:45 - 16.02.2020 14:00,-28.63,EUR,
16.02.2020 14:00 - 16.02.2020 14:15,-19.4,EUR,
16.02.2020 14:15 - 16.02.2020 14:30,-17.9,EUR,
16.02.2020 14:30 - 16.02.2020 14:45,-24,EUR,
16.02.2020 14:45 - 16.02.2020 15:00,-20.57,EUR,
16.02.2020 15:00 - 16.02.2020 15:15,-28.91,EUR,
16.02.2020 15:15 - 16.02.2020 15:30,-19.86,EUR,
16.02.2020 15:30 - 16.02.2020 15:45,-14.34,EUR,
16.02.2020 15:45 - 16.02.2020 16:00,-5.58,EUR,
16.02.2020 16:00 - 16.02.2020 16:15,-25.12,EUR,
16.02.2020 16:15 - 16.02.2020 16:30,-15.8,EUR,
16.02.2020 16:30 - 16.02.2020 16:45,-0.12,EUR,
16.02.2020 16:45 - 16.02.2020 17:00,8.25,EUR,
16.02.2020 17:00 - 16.02.2020 17:15,-26.83,EUR,
16.02.2020 17:15 - 16.02.2020 17:30,-6.51,EUR,
16.02.2020 17:30 - 16.02.2020 17:45,7.69,EUR,
16.02.2020 17:45 - 16.02.2020 18:00,22.01,EUR,
16.02.2020 18:00 - 16.02.2020 18:15,5.5,EUR,
16.02.2020 18:15 - 16.02.2020 18:30,8.75,EUR,
16.02.2020 18:30 - 16.02.2020 18:45,8.77,EUR,
16.02.2020 18:45 - 16.02.2020 19:00,5.15,EUR,
16.02.2020 19:00 - 16.02.2020 19:15,14.65,EUR,
16.02.2020 19:15 - 16.02.2020 19:30,10.93,EUR,
16.02.2020 19:30 - 16.02.2020 19:45,3.57,EUR,
16.02.2020 19:45 - 16.02.2020 20:00,-5.27,EUR,
16.02.2020 20:00 - 16.02.2020 20:15,17.6,EUR,
16.02.2020 20:15 - 16.02.2020 20:30,7.02,EUR,
16.02.2020 20:30 - 16.02.2020 20:45,-1.1,EUR,
16.02.2020 20:45 - 16.02.2020 21:00,-15.3,EUR,
16.02.2020 21:00 - 16.02.2020 21:15,7.49,EUR,
16.02.2020 21:15 - 16.02.2020 21:30,1.11,EUR,
16.02.2020 21:30 - 16.02.2020 21:45,-4.28,EUR,
16.02.2020 21:45 - 16.02.2020 22:00,-9.82,EUR,
16.02.2020 22:00 - 16.02.2020 22:15,20.7,EUR,
16.02.2020 22:15 - 16.02.2020 22:30,6.01,EUR,
16.02.2020 22:30 - 16.02.2020 22:45,-5.78,EUR,
16.02.2020 22:45 - 16.02.2020 23:00,-24.93,EUR,
16.02.2020 23:00 - 16.02.2020 23:15,14.91,EUR,
16.02.2020 23:15 - 16.02.2020 23:30,2.53,EUR,
16.02.2020 23:30 - 16.02.2020 23:45,-11.72,EUR,
16.02.2020 23:45 - 17.02.2020 00:00,-31.72,EUR,
17.02.2020 00:00 - 17.02.2020 00:15,7.64,EUR,
17.02.2020 00:15 - 17.02.2020 00:30,-1.59,EUR,
17.02.2020 00:30 - 17.02.2020 00:45,-10.31,EUR,
17.02.2020 00:45 - 17.02.2020 01:00,-25.6,EUR,
17.02.2020 01:00 - 17.02.2020 01:15,-5.07,EUR,
17.02.2020 01:15 - 17.02.2020 01:30,-13.95,EUR,
17.02.2020 01:30 - 17.02.2020 01:45,-21.03,EUR,
17.02.2020 01:45 - 17.02.2020 02:00,-30.34,EUR,
17.02.2020 02:00 - 17.02.2020 02:15,-9.09,EUR,
17.02.2020 02:15 - 17.02.2020 02:30,-27.74,EUR,
17.02.2020 02:30 - 17.02.2020 02:45,-20,EUR,
17.02.2020 02:45 - 17.02.2020 03:00,-18.64,EUR,
17.02.2020 03:00 - 17.02.2020 03:15,-18.7,EUR,
17.02.2020 03:15 - 17.02.2020 03:30,-26.15,EUR,
17.02.2020 03:30 - 17.02.2020 03:45,-14.72,EUR,
17.02.2020 03:45 - 17.02.2020 04:00,-10.83,EUR,
17.02.2020 04:00 - 17.02.2020 04:15,-25.18,EUR,
17.02.2020 04:15 - 17.02.2020 04:30,-21.06,EUR,
17.02.2020 04:30 - 17.02.2020 04:45,-7.33,EUR,
17.02.2020 04:45 - 17.02.2020 05:00,3.17,EUR,
17.02.2020 05:00 - 17.02.2020 05:15,-30.27,EUR,
17.02.2020 05:15 - 17.02.2020 05:30,-15.56,EUR,
17.02.2020 05:30 - 17.02.2020 05:45,8.68,EUR,
17.02.2020 05:45 - 17.02.2020 06:00,27.95,EUR,
17.02.2020 06:00 - 17.02.2020 06:15,-27.84,EUR,
17.02.2020 06:15 - 17.02.2020 06:30,13.72,EUR,
17.02.2020 06:30 - 17.02.2020 06:45,35.24,EUR,
17.02.2020 06:45 - 17.02.2020 07:00,50.86,EUR,
17.02.2020 07:00 - 17.02.2020 07:15,12.86,EUR,
17.02.2020 07:15 - 17.02.2020 07:30,29.27,EUR,
17.02.2020 07:30 - 17.02.2020 07:45,40,EUR,
17.02.2020 07:45 - 17.02.2020 08:00,45.88,EUR,
17.02.2020 08:00 - 17.02.2020 08:15,34.11,EUR,
17.02.2020 08:15 - 17.02.2020 08:30,33.61,EUR,
17.02.2020 08:30 - 17.02.2020 08:45,32.09,EUR,
17.02.2020 08:45 - 17.02.2020 09:00,32.6,EUR,
17.02.2020 09:00 - 17.02.2020 09:15,32.09,EUR,
17.02.2020 09:15 - 17.02.2020 09:30,28.09,EUR,
17.02.2020 09:30 - 17.02.2020 09:45,27.41,EUR,
17.02.2020 09:45 - 17.02.2020 10:00,30.4,EUR,
17.02.2020 10:00 - 17.02.2020 10:15,29.33,EUR,
17.02.2020 10:15 - 17.02.2020 10:30,23.89,EUR,
17.02.2020 10:30 - 17.02.2020 10:45,22.69,EUR,
17.02.2020 10:45 - 17.02.2020 11:00,26.62,EUR,
17.02.2020 11:00 - 17.02.2020 11:15,29,EUR,
17.02.2020 11:15 - 17.02.2020 11:30,29.3,EUR,
17.02.2020 11:30 - 17.02.2020 11:45,26.16,EUR,
17.02.2020 11:45 - 17.02.2020 12:00,21.54,EUR,
17.02.2020 12:00 - 17.02.2020 12:15,31.51,EUR,
17.02.2020 12:15 - 17.02.2020 12:30,23.48,EUR,
17.02.2020 12:30 - 17.02.2020 12:45,24.51,EUR,
17.02.2020 12:45 - 17.02.2020 13:00,18.49,EUR,
17.02.2020 13:00 - 17.02.2020 13:15,30.66,EUR,
17.02.2020 13:15 - 17.02.2020 13:30,29.77,EUR,
17.02.2020 13:30 - 17.02.2020 13:45,22.44,EUR,
17.02.2020 13:45 - 17.02.2020 14:00,14.74,EUR,
17.02.2020 14:00 - 17.02.2020 14:15,23.44,EUR,
17.02.2020 14:15 - 17.02.2020 14:30,25.42,EUR,
17.02.2020 14:30 - 17.02.2020 14:45,21.92,EUR,
17.02.2020 14:45 - 17.02.2020 15:00,25.23,EUR,
17.02.2020 15:00 - 17.02.2020 15:15,21.78,EUR,
17.02.2020 15:15 - 17.02.2020 15:30,20.83,EUR,
17.02.2020 15:30 - 17.02.2020 15:45,27.08,EUR,
17.02.2020 15:45 - 17.02.2020 16:00,30.28,EUR,
17.02.2020 16:00 - 17.02.2020 16:15,18.8,EUR,
17.02.2020 16:15 - 17.02.2020 16:30,19.8,EUR,
17.02.2020 16:30 - 17.02.2020 16:45,29.14,EUR,
17.02.2020 16:45 - 17.02.2020 17:00,37.86,EUR,
17.02.2020 17:00 - 17.02.2020 17:15,15.81,EUR,
17.02.2020 17:15 - 17.02.2020 17:30,23.2,EUR,
17.02.2020 17:30 - 17.02.2020 17:45,40.8,EUR,
17.02.2020 17:45 - 17.02.2020 18:00,44.27,EUR,
17.02.2020 18:00 - 17.02.2020 18:15,31.48,EUR,
17.02.2020 18:15 - 17.02.2020 18:30,32.69,EUR,
17.02.2020 18:30 - 17.02.2020 18:45,36.49,EUR,
17.02.2020 18:45 - 17.02.2020 19:00,35.32,EUR,
17.02.2020 19:00 - 17.02.2020 19:15,42.7,EUR,
17.02.2020 19:15 - 17.02.2020 19:30,39.01,EUR,
17.02.2020 19:30 - 17.02.2020 19:45,28.04,EUR,
17.02.2020 19:45 - 17.02.2020 20:00,17.99,EUR,
17.02.2020 20:00 - 17.02.2020 20:15,49.48,EUR,
17.02.2020 20:15 - 17.02.2020 20:30,34.32,EUR,
17.02.2020 20:30 - 17.02.2020 20:45,19.7,EUR,
17.02.2020 20:45 - 17.02.2020 21:00,6.47,EUR,
17.02.2020 21:00 - 17.02.2020 21:15,42.38,EUR,
17.02.2020 21:15 - 17.02.2020 21:30,27.85,EUR,
17.02.2020 21:30 - 17.02.2020 21:45,16.29,EUR,
17.02.2020 21:45 - 17.02.2020 22:00,4.07,EUR,
17.02.2020 22:00 - 17.02.2020 22:15,44.5,EUR,
17.02.2020 22:15 - 17.02.2020 22:30,25.91,EUR,
17.02.2020 22:30 - 17.02.2020 22:45,13.04,EUR,
17.02.2020 22:45 - 17.02.2020 23:00,-6.99,EUR,
17.02.2020 23:00 - 17.02.2020 23:15,36.11,EUR,
17.02.2020 23:15 - 17.02.2020 23:30,20.01,EUR,
17.02.2020 23:30 - 17.02.2020 23:45,3.98,EUR,
17.02.2020 23:45 - 18.02.2020 00:00,-17.86,EUR,
18.02.2020 00:00 - 18.02.2020 00:15,31.02,EUR,
18.02.2020 00:15 - 18.02.2020 00:30,12.98,EUR,
18.02.2020 00:30 - 18.02.2020 00:45,9.54,EUR,
18.02.2020 00:45 - 18.02.2020 01:00,-5.55,EUR,
18.02.2020 01:00 - 18.02.2020 01:15,18.99,EUR,
18.02.2020 01:15 - 18.02.2020 01:30,9.6,EUR,
18.02.2020 01:30 - 18.02.2020 01:45,5.95,EUR,
18.02.2020 01:45 - 18.02.2020 02:00,-1.63,EUR,
18.02.2020 02:00 - 18.02.2020 02:15,9.48,EUR,
18.02.2020 02:15 - 18.02.2020 02:30,2.28,EUR,
18.02.2020 02:30 - 18.02.2020 02:45,2.93,EUR,
18.02.2020 02:45 - 18.02.2020 03:00,2.9,EUR,
18.02.2020 03:00 - 18.02.2020 03:15,3.11,EUR,
18.02.2020 03:15 - 18.02.2020 03:30,3.31,EUR,
18.02.2020 03:30 - 18.02.2020 03:45,4.68,EUR,
18.02.2020 03:45 - 18.02.2020 04:00,7.68,EUR,
18.02.2020 04:00 - 18.02.2020 04:15,-5.72,EUR,
18.02.2020 04:15 - 18.02.2020 04:30,1,EUR,
18.02.2020 04:30 - 18.02.2020 04:45,9.26,EUR,
18.02.2020 04:45 - 18.02.2020 05:00,25.02,EUR,
18.02.2020 05:00 - 18.02.2020 05:15,-15.69,EUR,
18.02.2020 05:15 - 18.02.2020 05:30,-2.07,EUR,
18.02.2020 05:30 - 18.02.2020 05:45,18.21,EUR,
18.02.2020 05:45 - 18.02.2020 06:00,47.16,EUR,
18.02.2020 06:00 - 18.02.2020 06:15,-13.09,EUR,
18.02.2020 06:15 - 18.02.2020 06:30,18.21,EUR,
18.02.2020 06:30 - 18.02.2020 06:45,40.19,EUR,
18.02.2020 06:45 - 18.02.2020 07:00,48.68,EUR,
18.02.2020 07:00 - 18.02.2020 07:15,17.18,EUR,
18.02.2020 07:15 - 18.02.2020 07:30,30.84,EUR,
18.02.2020 07:30 - 18.02.2020 07:45,36.58,EUR,
18.02.2020 07:45 - 18.02.2020 08:00,41.3,EUR,
18.02.2020 08:00 - 18.02.2020 08:15,41.9,EUR,
18.02.2020 08:15 - 18.02.2020 08:30,37.28,EUR,
18.02.2020 08:30 - 18.02.2020 08:45,28.84,EUR,
18.02.2020 08:45 - 18.02.2020 09:00,17.98,EUR,
18.02.2020 09:00 - 18.02.2020 09:15,43.17,EUR,
18.02.2020 09:15 - 18.02.2020 09:30,31.46,EUR,
