"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|DE-LU"
"01.01.2018 22:00 - 01.01.2018 22:15","n/e",""
"01.01.2018 22:15 - 01.01.2018 22:30","n/e",""
"01.01.2018 22:30 - 01.01.2018 22:45","n/e",""
"01.01.2018 22:45 - 01.01.2018 23:00","n/e",""
"01.01.2018 23:00 - 01.01.2018 23:15","n/e",""
"01.01.2018 23:15 - 01.01.2018 23:30","n/e",""
"01.01.2018 23:30 - 01.01.2018 23:45","n/e",""
"01.01.2018 23:45 - 02.01.2018 00:00","n/e",""
"02.01.2018 00:00 - 02.01.2018 00:15","n/e",""
"02.01.2018 00:15 - 02.01.2018 00:30","n/e",""
"02.01.2018 00:30 - 02.01.2018 00:45","n/e",""
"02.01.2018 00:45 - 02.01.2018 01:00","n/e",""
"02.01.2018 01:00 - 02.01.2018 01:15","n/e",""
"02.01.2018 01:15 - 02.01.2018 01:30","n/e",""
"02.01.2018 01:30 - 02.01.2018 01:45","n/e",""
"02.01.2018 01:45 - 02.01.2018 02:00","n/e",""
"02.01.2018 02:00 - 02.01.2018 02:15","n/e",""
"02.01.2018 02:15 - 02.01.2018 02:30","n/e",""
"02.01.2018 02:30 - 02.01.2018 02:45","n/e",""
"02.01.2018 02:45 - 02.01.2018 03:00","n/e",""
"02.01.2018 03:00 - 02.01.2018 03:15","n/e",""
"02.01.2018 03:15 - 02.01.2018 03:30","n/e",""
"02.01.2018 03:30 - 02.01.2018 03:45","n/e",""
"02.01.2018 03:45 - 02.01.2018 04:00","n/e",""
"02.01.2018 04:00 - 02.01.2018 04:15","n/e",""
"02.01.2018 04:15 - 02.01.2018 04:30","n/e",""
"02.01.2018 04:30 - 02.01.2018 04:45","n/e",""
"02.01.2018 04:45 - 02.01.2018 05:00","n/e",""
"02.01.2018 05:00 - 02.01.2018 05:15","n/e",""
"02.01.2018 05:15 - 02.01.2018 05:30","n/e",""
"02.01.2018 05:30 - 02.01.2018 05:45","n/e",""
"02.01.2018 05:45 - 02.01.2018 06:00","n/e",""
"02.01.2018 06:00 - 02.01.2018 06:15","n/e",""
"02.01.2018 06:15 - 02.01.2018 06:30","n/e",""
"02.01.2018 06:30 - 02.01.2018 06:45","n/e",""
"02.01.2018 06:45 - 02.01.2018 07:00","n/e",""
"02.01.2018 07:00 - 02.01.2018 07:15","n/e",""
"02.01.2018 07:15 - 02.01.2018 07:30","n/e",""
"02.01.2018 07:30 - 02.01.2018 07:45","n/e",""
"02.01.2018 07:45 - 02.01.2018 08:00","n/e",""
"02.01.2018 08:00 - 02.01.2018 08:15","n/e",""
"02.01.2018 08:15 - 02.01.2018 08:30","n/e",""
"02.01.2018 08:30 - 02.01.2018 08:45","n/e",""
"02.01.2018 08:45 - 02.01.2018 09:00","n/e",""
"02.01.2018 09:00 - 02.01.2018 09:15","n/e",""
"02.01.2018 09:15 - 02.01.2018 09:30","n/e",""
"02.01.2018 09:30 - 02.01.2018 09:45","n/e",""
"02.01.2018 09:45 - 02.01.2018 10:00","n/e",""
"02.01.2018 10:00 - 02.01.2018 10:15","n/e",""
"02.01.2018 10:15 - 02.01.2018 10:30","n/e",""
"02.01.2018 10:30 - 02.01.2018 10:45","n/e",""
"02.01.2018 10:45 - 02.01.2018 11:00","n/e",""
"02.01.2018 11:00 - 02.01.2018 11:15","n/e",""
"02.01.2018 11:15 - 02.01.2018 11:30","n/e",""
"02.01.2018 11:30 - 02.01.2018 11:45","n/e",""
"02.01.2018 11:45 - 02.01.2018 12:00","n/e",""
"02.01.2018 12:00 - 02.01.2018 12:15","n/e",""
"02.01.2018 12:15 - 02.01.2018 12:30","n/e",""
"02.01.2018 12:30 - 02.01.2018 12:45","n/e",""
"02.01.2018 12:45 - 02.01.2018 13:00","n/e",""
"02.01.2018 13:00 - 02.01.2018 13:15","n/e",""
"02.01.2018 13:15 - 02.01.2018 13:30","n/e",""
"02.01.2018 13:30 - 02.01.2018 13:45","n/e",""
"02.01.2018 13:45 - 02.01.2018 14:00","n/e",""
"02.01.2018 14:00 - 02.01.2018 14:15","n/e",""
"02.01.2018 14:15 - 02.01.2018 14:30","n/e",""
"02.01.2018 14:30 - 02.01.2018 14:45","n/e",""
"02.01.2018 14:45 - 02.01.2018 15:00","n/e",""
"02.01.2018 15:00 - 02.01.2018 15:15","n/e",""
"02.01.2018 15:15 - 02.01.2018 15:30","n/e",""
"02.01.2018 15:30 - 02.01.2018 15:45","n/e",""
"02.01.2018 15:45 - 02.01.2018 16:00","n/e",""
"02.01.2018 16:00 - 02.01.2018 16:15","n/e",""
"02.01.2018 16:15 - 02.01.2018 16:30","n/e",""
"02.01.2018 16:30 - 02.01.2018 16:45","n/e",""
"02.01.2018 16:45 - 02.01.2018 17:00","n/e",""
"02.01.2018 17:00 - 02.01.2018 17:15","n/e",""
"02.01.2018 17:15 - 02.01.2018 17:30","n/e",""
"02.01.2018 17:30 - 02.01.2018 17:45","n/e",""
"02.01.2018 17:45 - 02.01.2018 18:00","n/e",""
"02.01.2018 18:00 - 02.01.2018 18:15","n/e",""
"02.01.2018 18:15 - 02.01.2018 18:30","n/e",""
"02.01.2018 18:30 - 02.01.2018 18:45","n/e",""
"02.01.2018 18:45 - 02.01.2018 19:00","n/e",""
"02.01.2018 19:00 - 02.01.2018 19:15","n/e",""
"02.01.2018 19:15 - 02.01.2018 19:30","n/e",""
"02.01.2018 19:30 - 02.01.2018 19:45","n/e",""
"02.01.2018 19:45 - 02.01.2018 20:00","n/e",""
"02.01.2018 20:00 - 02.01.2018 20:15","n/e",""
"02.01.2018 20:15 - 02.01.2018 20:30","n/e",""
"02.01.2018 20:30 - 02.01.2018 20:45","n/e",""
"02.01.2018 20:45 - 02.01.2018 21:00","n/e",""
"02.01.2018 21:00 - 02.01.2018 21:15","n/e",""
"02.01.2018 21:15 - 02.01.2018 21:30","n/e",""
"02.01.2018 21:30 - 02.01.2018 21:45","n/e",""
"02.01.2018 21:45 - 02.01.2018 22:00","n/e",""
"02.01.2018 22:00 - 02.01.2018 22:15","n/e",""
"02.01.2018 22:15 - 02.01.2018 22:30","n/e",""
"02.01.2018 22:30 - 02.01.2018 22:45","n/e",""
"02.01.2018 22:45 - 02.01.2018 23:00","n/e",""
"02.01.2018 23:00 - 02.01.2018 23:15","n/e",""
"02.01.2018 23:15 - 02.01.2018 23:30","n/e",""
"02.01.2018 23:30 - 02.01.2018 23:45","n/e",""
"02.01.2018 23:45 - 03.01.2018 00:00","n/e",""
"03.01.2018 00:00 - 03.01.2018 00:15","n/e",""
"03.01.2018 00:15 - 03.01.2018 00:30","n/e",""
"03.01.2018 00:30 - 03.01.2018 00:45","n/e",""
"03.01.2018 00:45 - 03.01.2018 01:00","n/e",""
"03.01.2018 01:00 - 03.01.2018 01:15","n/e",""
"03.01.2018 01:15 - 03.01.2018 01:30","n/e",""
"03.01.2018 01:30 - 03.01.2018 01:45","n/e",""
"03.01.2018 01:45 - 03.01.2018 02:00","n/e",""
"03.01.2018 02:00 - 03.01.2018 02:15","n/e",""
"03.01.2018 02:15 - 03.01.2018 02:30","n/e",""
"03.01.2018 02:30 - 03.01.2018 02:45","n/e",""
"03.01.2018 02:45 - 03.01.2018 03:00","n/e",""
"03.01.2018 03:00 - 03.01.2018 03:15","n/e",""
"03.01.2018 03:15 - 03.01.2018 03:30","n/e",""
"03.01.2018 03:30 - 03.01.2018 03:45","n/e",""
"03.01.2018 03:45 - 03.01.2018 04:00","n/e",""
"03.01.2018 04:00 - 03.01.2018 04:15","n/e",""
"03.01.2018 04:15 - 03.01.2018 04:30","n/e",""
"03.01.2018 04:30 - 03.01.2018 04:45","n/e",""
"03.01.2018 04:45 - 03.01.2018 05:00","n/e",""
"03.01.2018 05:00 - 03.01.2018 05:15","n/e",""
"03.01.2018 05:15 - 03.01.2018 05:30","n/e",""
"03.01.2018 05:30 - 03.01.2018 05:45","n/e",""
"03.01.2018 05:45 - 03.01.2018 06:00","n/e",""
"03.01.2018 06:00 - 03.01.2018 06:15","n/e",""
"03.01.2018 06:15 - 03.01.2018 06:30","n/e",""
"03.01.2018 06:30 - 03.01.2018 06:45","n/e",""
"03.01.2018 06:45 - 03.01.2018 07:00","n/e",""
"03.01.2018 07:00 - 03.01.2018 07:15","n/e",""
"03.01.2018 07:15 - 03.01.2018 07:30","n/e",""
"03.01.2018 07:30 - 03.01.2018 07:45","n/e",""
"03.01.2018 07:45 - 03.01.2018 08:00","n/e",""
"03.01.2018 08:00 - 03.01.2018 08:15","n/e",""
"03.01.2018 08:15 - 03.01.2018 08:30","n/e",""
"03.01.2018 08:30 - 03.01.2018 08:45","n/e",""
"03.01.2018 08:45 - 03.01.2018 09:00","n/e",""
"03.01.2018 09:00 - 03.01.2018 09:15","n/e",""
"03.01.2018 09:15 - 03.01.2018 09:30","n/e",""
"03.01.2018 09:30 - 03.01.2018 09:45","n/e",""
"03.01.2018 09:45 - 03.01.2018 10:00","n/e",""
"03.01.2018 10:00 - 03.01.2018 10:15","n/e",""
"03.01.2018 10:15 - 03.01.2018 10:30","n/e",""
"03.01.2018 10:30 - 03.01.2018 10:45","n/e",""
"03.01.2018 10:45 - 03.01.2018 11:00","n/e",""
"03.01.2018 11:00 - 03.01.2018 11:15","n/e",""
"03.01.2018 11:15 - 03.01.2018 11:30","n/e",""
"03.01.2018 11:30 - 03.01.2018 11:45","n/e",""
"03.01.2018 11:45 - 03.01.2018 12:00","n/e",""
"03.01.2018 12:00 - 03.01.2018 12:15","n/e",""
"03.01.2018 12:15 - 03.01.2018 12:30","n/e",""
"03.01.2018 12:30 - 03.01.2018 12:45","n/e",""
"03.01.2018 12:45 - 03.01.2018 13:00","n/e",""
"03.01.2018 13:00 - 03.01.2018 13:15","n/e",""
"03.01.2018 13:15 - 03.01.2018 13:30","n/e",""
"03.01.2018 13:30 - 03.01.2018 13:45","n/e",""
"03.01.2018 13:45 - 03.01.2018 14:00","n/e",""
"03.01.2018 14:00 - 03.01.2018 14:15","n/e",""
