"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"01.01.2018 12:00 - 01.01.2018 12:15","n/e","n/e","n/e","n/e","3218","n/e","n/e","32615","n/e"
"01.01.2018 12:15 - 01.01.2018 12:30","n/e","n/e","n/e","n/e","3210","n/e","n/e","32323","n/e"
"01.01.2018 12:30 - 01.01.2018 12:45","n/e","n/e","n/e","n/e","3216","n/e","n/e","32181","n/e"
"01.01.2018 12:45 - 01.01.2018 13:00","n/e","n/e","n/e","n/e","3217","n/e","n/e","31613","n/e"
"01.01.2018 13:00 - 01.01.2018 13:15","n/e","n/e","n/e","n/e","3222","n/e","n/e","31272","n/e"
"01.01.2018 13:15 - 01.01.2018 13:30","n/e","n/e","n/e","n/e","3209","n/e","n/e","30178","n/e"
"01.01.2018 13:30 - 01.01.2018 13:45","n/e","n/e","n/e","n/e","3209","n/e","n/e","29347","n/e"
"01.01.2018 13:45 - 01.01.2018 14:00","n/e","n/e","n/e","n/e","3211","n/e","n/e","28384","n/e"
"01.01.2018 14:00 - 01.01.2018 14:15","n/e","n/e","n/e","n/e","3207","n/e","n/e","27536","n/e"
"01.01.2018 14:15 - 01.01.2018 14:30","n/e","n/e","n/e","n/e","3190","n/e","n/e","26669","n/e"
"01.01.2018 14:30 - 01.01.2018 14:45","n/e","n/e","n/e","n/e","3192","n/e","n/e","25623","n/e"
"01.01.2018 14:45 - 01.01.2018 15:00","n/e","n/e","n/e","n/e","3187","n/e","n/e","24720","n/e"
"01.01.2018 15:00 - 01.01.2018 15:15","n/e","n/e","n/e","n/e","3183","n/e","n/e","23684","n/e"
"01.01.2018 15:15 - 01.01.2018 15:30","n/e","n/e","n/e","n/e","3171","n/e","n/e","22849","n/e"
"01.01.2018 15:30 - 01.01.2018 15:45","n/e","n/e","n/e","n/e","3159","n/e","n/e","22017","n/e"
"01.01.2018 15:45 - 01.01.2018 16:00","n/e","n/e","n/e","n/e","3141","n/e","n/e","21078","n/e"
"01.01.2018 16:00 - 01.01.2018 16:15","n/e","n/e","n/e","n/e","3503","n/e","n/e","20222","n/e"
"01.01.2018 16:15 - 01.01.2018 16:30","n/e","n/e","n/e","n/e","3987","n/e","n/e","19764","n/e"
