"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"07.02.2018 23:15 - 07.02.2018 23:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2329","n/e"
"07.02.2018 23:30 - 07.02.2018 23:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2267","n/e"
"07.02.2018 23:45 - 08.02.2018 00:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2218","n/e"
"08.02.2018 00:00 - 08.02.2018 00:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2131","n/e"
"08.02.2018 00:15 - 08.02.2018 00:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2072","n/e"
"08.02.2018 00:30 - 08.02.2018 00:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2018","n/e"
"08.02.2018 00:45 - 08.02.2018 01:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1966","n/e"
"08.02.2018 01:00 - 08.02.2018 01:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1771","n/e"
"08.02.2018 01:15 - 08.02.2018 01:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1619","n/e"
"08.02.2018 01:30 - 08.02.2018 01:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1585","n/e"
"08.02.2018 01:45 - 08.02.2018 02:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1616","n/e"
"08.02.2018 02:00 - 08.02.2018 02:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1599","n/e"
"08.02.2018 02:15 - 08.02.2018 02:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1586","n/e"
"08.02.2018 02:30 - 08.02.2018 02:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1666","n/e"
"08.02.2018 02:45 - 08.02.2018 03:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1680","n/e"
"08.02.2018 03:00 - 08.02.2018 03:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1655","n/e"
"08.02.2018 03:15 - 08.02.2018 03:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1649","n/e"
"08.02.2018 03:30 - 08.02.2018 03:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1689","n/e"
"08.02.2018 03:45 - 08.02.2018 04:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1706","n/e"
"08.02.2018 04:00 - 08.02.2018 04:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1663","n/e"
"08.02.2018 04:15 - 08.02.2018 04:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1620","n/e"
"08.02.2018 04:30 - 08.02.2018 04:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1590","n/e"
"08.02.2018 04:45 - 08.02.2018 05:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1555","n/e"
"08.02.2018 05:00 - 08.02.2018 05:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1525","n/e"
"08.02.2018 05:15 - 08.02.2018 05:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1488","n/e"
"08.02.2018 05:30 - 08.02.2018 05:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1449","n/e"
"08.02.2018 05:45 - 08.02.2018 06:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1421","n/e"
"08.02.2018 06:00 - 08.02.2018 06:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1394","n/e"
"08.02.2018 06:15 - 08.02.2018 06:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1378","n/e"
"08.02.2018 06:30 - 08.02.2018 06:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1345","n/e"
"08.02.2018 06:45 - 08.02.2018 07:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1318","n/e"
"08.02.2018 07:00 - 08.02.2018 07:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1293","n/e"
"08.02.2018 07:15 - 08.02.2018 07:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1254","n/e"
"08.02.2018 07:30 - 08.02.2018 07:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1221","n/e"
"08.02.2018 07:45 - 08.02.2018 08:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1193","n/e"
"08.02.2018 08:00 - 08.02.2018 08:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1164","n/e"
"08.02.2018 08:15 - 08.02.2018 08:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1134","n/e"
"08.02.2018 08:30 - 08.02.2018 08:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1106","n/e"
"08.02.2018 08:45 - 08.02.2018 09:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1075","n/e"
"08.02.2018 09:00 - 08.02.2018 09:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1042","n/e"
"08.02.2018 09:15 - 08.02.2018 09:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1003","n/e"
"08.02.2018 09:30 - 08.02.2018 09:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","962","n/e"
"08.02.2018 09:45 - 08.02.2018 10:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","916","n/e"
"08.02.2018 10:00 - 08.02.2018 10:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1050","n/e"
"08.02.2018 10:15 - 08.02.2018 10:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1042","n/e"
"08.02.2018 10:30 - 08.02.2018 10:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1030","n/e"
"08.02.2018 10:45 - 08.02.2018 11:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1022","n/e"
"08.02.2018 11:00 - 08.02.2018 11:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1010","n/e"
"08.02.2018 11:15 - 08.02.2018 11:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","993","n/e"
"08.02.2018 11:30 - 08.02.2018 11:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","974","n/e"
"08.02.2018 11:45 - 08.02.2018 12:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","958","n/e"
"08.02.2018 12:00 - 08.02.2018 12:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","947","n/e"
"08.02.2018 12:15 - 08.02.2018 12:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","939","n/e"
"08.02.2018 12:30 - 08.02.2018 12:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","930","n/e"
"08.02.2018 12:45 - 08.02.2018 13:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","929","n/e"
"08.02.2018 13:00 - 08.02.2018 13:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","938","n/e"
"08.02.2018 13:15 - 08.02.2018 13:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","961","n/e"
"08.02.2018 13:30 - 08.02.2018 13:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","986","n/e"
"08.02.2018 13:45 - 08.02.2018 14:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1004","n/e"
"08.02.2018 14:00 - 08.02.2018 14:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1018","n/e"
"08.02.2018 14:15 - 08.02.2018 14:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1023","n/e"
"08.02.2018 14:30 - 08.02.2018 14:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1028","n/e"
"08.02.2018 14:45 - 08.02.2018 15:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1044","n/e"
"08.02.2018 15:00 - 08.02.2018 15:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1059","n/e"
"08.02.2018 15:15 - 08.02.2018 15:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1076","n/e"
"08.02.2018 15:30 - 08.02.2018 15:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1096","n/e"
"08.02.2018 15:45 - 08.02.2018 16:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1131","n/e"
"08.02.2018 16:00 - 08.02.2018 16:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1178","n/e"
"08.02.2018 16:15 - 08.02.2018 16:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1250","n/e"
"08.02.2018 16:30 - 08.02.2018 16:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1322","n/e"
"08.02.2018 16:45 - 08.02.2018 17:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1390","n/e"
"08.02.2018 17:00 - 08.02.2018 17:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1480","n/e"
"08.02.2018 17:15 - 08.02.2018 17:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1596","n/e"
"08.02.2018 17:30 - 08.02.2018 17:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1712","n/e"
"08.02.2018 17:45 - 08.02.2018 18:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1835","n/e"
"08.02.2018 18:00 - 08.02.2018 18:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","1983","n/e"
"08.02.2018 18:15 - 08.02.2018 18:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2168","n/e"
"08.02.2018 18:30 - 08.02.2018 18:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2348","n/e"
"08.02.2018 18:45 - 08.02.2018 19:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2519","n/e"
"08.02.2018 19:00 - 08.02.2018 19:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2680","n/e"
"08.02.2018 19:15 - 08.02.2018 19:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2825","n/e"
"08.02.2018 19:30 - 08.02.2018 19:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2972","n/e"
"08.02.2018 19:45 - 08.02.2018 20:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3114","n/e"
"08.02.2018 20:00 - 08.02.2018 20:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3207","n/e"
"08.02.2018 20:15 - 08.02.2018 20:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3320","n/e"
"08.02.2018 20:30 - 08.02.2018 20:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3433","n/e"
"08.02.2018 20:45 - 08.02.2018 21:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3547","n/e"
"08.02.2018 21:00 - 08.02.2018 21:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3639","n/e"
"08.02.2018 21:15 - 08.02.2018 21:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3708","n/e"
"08.02.2018 21:30 - 08.02.2018 21:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3775","n/e"
"08.02.2018 21:45 - 08.02.2018 22:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3844","n/e"
"08.02.2018 22:00 - 08.02.2018 22:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3911","n/e"
"08.02.2018 22:15 - 08.02.2018 22:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3956","n/e"
"08.02.2018 22:30 - 08.02.2018 22:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4004","n/e"
"08.02.2018 22:45 - 08.02.2018 23:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4047","n/e"
"08.02.2018 23:00 - 08.02.2018 23:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4093","n/e"
"08.02.2018 23:15 - 08.02.2018 23:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4151","n/e"
"08.02.2018 23:30 - 08.02.2018 23:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4219","n/e"
"08.02.2018 23:45 - 09.02.2018 00:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4286","n/e"
"09.02.2018 00:00 - 09.02.2018 00:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4242","n/e"
"09.02.2018 00:15 - 09.02.2018 00:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4295","n/e"
"09.02.2018 00:30 - 09.02.2018 00:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4350","n/e"
"09.02.2018 00:45 - 09.02.2018 01:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4406","n/e"
"09.02.2018 01:00 - 09.02.2018 01:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4256","n/e"
"09.02.2018 01:15 - 09.02.2018 01:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4366","n/e"
"09.02.2018 01:30 - 09.02.2018 01:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4430","n/e"
"09.02.2018 01:45 - 09.02.2018 02:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4530","n/e"
"09.02.2018 02:00 - 09.02.2018 02:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4600","n/e"
"09.02.2018 02:15 - 09.02.2018 02:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4677","n/e"
"09.02.2018 02:30 - 09.02.2018 02:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4787","n/e"
"09.02.2018 02:45 - 09.02.2018 03:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4888","n/e"
"09.02.2018 03:00 - 09.02.2018 03:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4992","n/e"
"09.02.2018 03:15 - 09.02.2018 03:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5163","n/e"
"09.02.2018 03:30 - 09.02.2018 03:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5360","n/e"
"09.02.2018 03:45 - 09.02.2018 04:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5473","n/e"
"09.02.2018 04:00 - 09.02.2018 04:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5600","n/e"
"09.02.2018 04:15 - 09.02.2018 04:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5738","n/e"
"09.02.2018 04:30 - 09.02.2018 04:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5857","n/e"
"09.02.2018 04:45 - 09.02.2018 05:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6004","n/e"
"09.02.2018 05:00 - 09.02.2018 05:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6119","n/e"
"09.02.2018 05:15 - 09.02.2018 05:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6213","n/e"
"09.02.2018 05:30 - 09.02.2018 05:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6294","n/e"
"09.02.2018 05:45 - 09.02.2018 06:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6384","n/e"
"09.02.2018 06:00 - 09.02.2018 06:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6331","n/e"
"09.02.2018 06:15 - 09.02.2018 06:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6451","n/e"
"09.02.2018 06:30 - 09.02.2018 06:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6556","n/e"
"09.02.2018 06:45 - 09.02.2018 07:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6672","n/e"
"09.02.2018 07:00 - 09.02.2018 07:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6797","n/e"
"09.02.2018 07:15 - 09.02.2018 07:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6888","n/e"
"09.02.2018 07:30 - 09.02.2018 07:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7006","n/e"
"09.02.2018 07:45 - 09.02.2018 08:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7091","n/e"
"09.02.2018 08:00 - 09.02.2018 08:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7167","n/e"
"09.02.2018 08:15 - 09.02.2018 08:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7231","n/e"
"09.02.2018 08:30 - 09.02.2018 08:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7333","n/e"
"09.02.2018 08:45 - 09.02.2018 09:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7369","n/e"
"09.02.2018 09:00 - 09.02.2018 09:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7398","n/e"
"09.02.2018 09:15 - 09.02.2018 09:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7355","n/e"
"09.02.2018 09:30 - 09.02.2018 09:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7309","n/e"
"09.02.2018 09:45 - 09.02.2018 10:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7261","n/e"
"09.02.2018 10:00 - 09.02.2018 10:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7437","n/e"
"09.02.2018 10:15 - 09.02.2018 10:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7195","n/e"
"09.02.2018 10:30 - 09.02.2018 10:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6952","n/e"
"09.02.2018 10:45 - 09.02.2018 11:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6716","n/e"
"09.02.2018 11:00 - 09.02.2018 11:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6483","n/e"
"09.02.2018 11:15 - 09.02.2018 11:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6335","n/e"
"09.02.2018 11:30 - 09.02.2018 11:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6190","n/e"
"09.02.2018 11:45 - 09.02.2018 12:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6047","n/e"
"09.02.2018 12:00 - 09.02.2018 12:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5906","n/e"
"09.02.2018 12:15 - 09.02.2018 12:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5793","n/e"
"09.02.2018 12:30 - 09.02.2018 12:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5684","n/e"
"09.02.2018 12:45 - 09.02.2018 13:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5577","n/e"
"09.02.2018 13:00 - 09.02.2018 13:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5471","n/e"
"09.02.2018 13:15 - 09.02.2018 13:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5402","n/e"
"09.02.2018 13:30 - 09.02.2018 13:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5328","n/e"
"09.02.2018 13:45 - 09.02.2018 14:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5254","n/e"
"09.02.2018 14:00 - 09.02.2018 14:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5163","n/e"
"09.02.2018 14:15 - 09.02.2018 14:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5094","n/e"
"09.02.2018 14:30 - 09.02.2018 14:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5027","n/e"
"09.02.2018 14:45 - 09.02.2018 15:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4956","n/e"
"09.02.2018 15:00 - 09.02.2018 15:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4894","n/e"
"09.02.2018 15:15 - 09.02.2018 15:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4842","n/e"
"09.02.2018 15:30 - 09.02.2018 15:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4798","n/e"
"09.02.2018 15:45 - 09.02.2018 16:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4750","n/e"
"09.02.2018 16:00 - 09.02.2018 16:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4765","n/e"
"09.02.2018 16:15 - 09.02.2018 16:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4980","n/e"
"09.02.2018 16:30 - 09.02.2018 16:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5195","n/e"
"09.02.2018 16:45 - 09.02.2018 17:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5411","n/e"
"09.02.2018 17:00 - 09.02.2018 17:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5657","n/e"
"09.02.2018 17:15 - 09.02.2018 17:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5966","n/e"
"09.02.2018 17:30 - 09.02.2018 17:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6275","n/e"
"09.02.2018 17:45 - 09.02.2018 18:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6589","n/e"
"09.02.2018 18:00 - 09.02.2018 18:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6888","n/e"
"09.02.2018 18:15 - 09.02.2018 18:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7157","n/e"
"09.02.2018 18:30 - 09.02.2018 18:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7426","n/e"
"09.02.2018 18:45 - 09.02.2018 19:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7681","n/e"
"09.02.2018 19:00 - 09.02.2018 19:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7880","n/e"
"09.02.2018 19:15 - 09.02.2018 19:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7851","n/e"
"09.02.2018 19:30 - 09.02.2018 19:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7823","n/e"
"09.02.2018 19:45 - 09.02.2018 20:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7806","n/e"
"09.02.2018 20:00 - 09.02.2018 20:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7722","n/e"
"09.02.2018 20:15 - 09.02.2018 20:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7586","n/e"
"09.02.2018 20:30 - 09.02.2018 20:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7442","n/e"
"09.02.2018 20:45 - 09.02.2018 21:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7291","n/e"
"09.02.2018 21:00 - 09.02.2018 21:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","7137","n/e"
"09.02.2018 21:15 - 09.02.2018 21:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6973","n/e"
"09.02.2018 21:30 - 09.02.2018 21:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6806","n/e"
"09.02.2018 21:45 - 09.02.2018 22:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6633","n/e"
"09.02.2018 22:00 - 09.02.2018 22:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6468","n/e"
"09.02.2018 22:15 - 09.02.2018 22:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6256","n/e"
"09.02.2018 22:30 - 09.02.2018 22:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","6047","n/e"
"09.02.2018 22:45 - 09.02.2018 23:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5839","n/e"
"09.02.2018 23:00 - 09.02.2018 23:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5633","n/e"
"09.02.2018 23:15 - 09.02.2018 23:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5440","n/e"
"09.02.2018 23:30 - 09.02.2018 23:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5246","n/e"
"09.02.2018 23:45 - 10.02.2018 00:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","5068","n/e"
"10.02.2018 00:00 - 10.02.2018 00:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4569","n/e"
"10.02.2018 00:15 - 10.02.2018 00:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4426","n/e"
"10.02.2018 00:30 - 10.02.2018 00:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4282","n/e"
"10.02.2018 00:45 - 10.02.2018 01:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","4137","n/e"
"10.02.2018 01:00 - 10.02.2018 01:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3198","n/e"
"10.02.2018 01:15 - 10.02.2018 01:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3172","n/e"
"10.02.2018 01:30 - 10.02.2018 01:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3071","n/e"
"10.02.2018 01:45 - 10.02.2018 02:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3098","n/e"
"10.02.2018 02:00 - 10.02.2018 02:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3063","n/e"
"10.02.2018 02:15 - 10.02.2018 02:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2993","n/e"
"10.02.2018 02:30 - 10.02.2018 02:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3014","n/e"
"10.02.2018 02:45 - 10.02.2018 03:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","3001","n/e"
"10.02.2018 03:00 - 10.02.2018 03:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2984","n/e"
"10.02.2018 03:15 - 10.02.2018 03:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2877","n/e"
"10.02.2018 03:30 - 10.02.2018 03:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2867","n/e"
"10.02.2018 03:45 - 10.02.2018 04:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2835","n/e"
"10.02.2018 04:00 - 10.02.2018 04:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2785","n/e"
"10.02.2018 04:15 - 10.02.2018 04:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2786","n/e"
"10.02.2018 04:30 - 10.02.2018 04:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2753","n/e"
"10.02.2018 04:45 - 10.02.2018 05:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2738","n/e"
"10.02.2018 05:00 - 10.02.2018 05:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2733","n/e"
"10.02.2018 05:15 - 10.02.2018 05:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2728","n/e"
"10.02.2018 05:30 - 10.02.2018 05:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2683","n/e"
"10.02.2018 05:45 - 10.02.2018 06:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2659","n/e"
"10.02.2018 06:00 - 10.02.2018 06:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2655","n/e"
"10.02.2018 06:15 - 10.02.2018 06:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2635","n/e"
"10.02.2018 06:30 - 10.02.2018 06:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2572","n/e"
"10.02.2018 06:45 - 10.02.2018 07:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2535","n/e"
"10.02.2018 07:00 - 10.02.2018 07:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2503","n/e"
"10.02.2018 07:15 - 10.02.2018 07:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","2459","n/e"
